Date,Open,High,Low,Close,Adj Close,Volume
2019-01-14,68.956001,70.400002,59.945999,60.452000,60.452000,162596000
2019-01-21,60.964001,61.599998,55.855999,59.408001,59.408001,199292500
2019-01-28,58.582001,63.220001,57.549999,62.442001,62.442001,210739500
2019-02-04,62.596001,64.848000,59.700001,61.160000,61.160000,157491000
2019-02-11,62.320000,63.720001,60.200001,61.576000,61.576000,134473000
2019-02-18,61.312000,62.307999,58.099998,58.942001,58.942001,129801500
2019-02-25,59.582001,64.000000,57.754002,58.958000,58.958000,299125000
2019-03-04,59.624001,59.799999,54.020000,56.827999,56.827999,322295500
2019-03-11,56.703999,59.077999,54.880001,55.085999,55.085999,218150000
2019-03-18,55.200001,55.610001,52.692001,52.905998,52.905998,218412500
2019-03-25,51.942001,56.066002,50.891998,55.972000,55.972000,195552500
2019-04-01,56.523998,59.234001,52.118000,54.992001,54.992001,291338500
2019-04-08,55.537998,56.231998,53.119999,53.540001,53.540001,199788000
2019-04-15,53.726002,55.000000,51.726002,54.652000,54.652000,141571500
2019-04-22,53.799999,53.936001,46.226002,47.028000,47.028000,390143000
2019-04-29,47.172001,51.321999,46.299999,51.006001,51.006001,393748000
2019-05-06,50.004002,51.669998,47.203999,47.903999,47.903999,204307000
2019-05-13,46.402000,46.900002,41.784000,42.206001,42.206001,253266000
2019-05-20,40.560001,41.480000,37.243999,38.125999,38.125999,489495000
2019-05-27,38.240002,39.000000,36.820000,37.032001,37.032001,203073500
2019-06-03,37.102001,42.200001,35.397999,40.900002,40.900002,383142000
2019-06-10,42.049999,44.675999,41.501999,42.984001,42.984001,265188500
2019-06-17,43.096001,46.948002,42.854000,44.372002,44.372002,258366500
2019-06-24,44.647999,45.445999,43.470001,44.692001,44.692001,168156000
2019-07-01,46.042000,48.313999,44.444000,46.619999,46.619999,193696000
2019-07-08,46.248001,49.076000,45.456001,49.015999,49.015999,189659500
2019-07-15,49.599998,51.992001,48.972000,51.636002,51.636002,203604000
2019-07-22,51.750000,53.214001,44.450001,45.608002,45.608002,276921500
2019-07-29,45.417999,49.335999,45.206001,46.868000,46.868000,204782500
2019-08-05,45.919998,47.959999,45.150002,47.001999,47.001999,132707500
2019-08-12,46.598000,47.200001,42.310001,43.987999,43.987999,161663500
2019-08-19,44.841999,45.818001,42.200001,42.279999,42.279999,161633500
2019-08-26,42.720001,46.487999,42.307999,45.122002,45.122002,140968500
2019-09-02,44.816002,45.959999,43.841999,45.490002,45.490002,113499000
2019-09-09,46.000000,50.700001,45.787998,49.040001,49.040001,168117500
2019-09-16,49.200001,49.633999,47.632000,48.124001,48.124001,119562500
2019-09-23,48.000000,49.742001,43.672001,48.425999,48.425999,248298500
2019-09-30,48.599998,49.189999,44.855999,46.285999,46.285999,203766500
2019-10-07,45.959999,50.216000,45.709999,49.577999,49.577999,191977500
2019-10-14,49.580002,52.956001,49.425999,51.389999,51.389999,169205000
2019-10-21,51.666000,66.000000,50.035999,65.625999,65.625999,373046000
2019-10-28,65.508003,68.167999,61.959999,62.661999,62.661999,263236500
2019-11-04,62.959999,68.300003,61.852001,67.428001,67.428001,221039000
2019-11-11,68.790001,71.265999,68.400002,70.433998,70.433998,185200500
2019-11-18,70.584000,72.239998,66.000000,66.608002,66.608002,209154500
2019-11-25,68.863998,68.914001,65.419998,65.987999,65.987999,141540500
2019-12-02,65.879997,67.772003,65.449997,67.178001,67.178001,147591000
2019-12-09,67.318001,73.042000,67.015999,71.678001,71.678001,195420000
2019-12-16,72.510002,82.599998,72.500000,81.117996,81.117996,368259000
2019-12-23,82.356003,87.061996,82.000000,86.075996,86.075996,209769500
2019-12-30,85.758003,90.800003,80.416000,88.601997,88.601997,250913500
2020-01-06,88.094002,99.760002,88.000000,95.629997,95.629997,502796500
2020-01-13,98.699997,109.482002,98.400002,102.099998,102.099998,541242000
2020-01-20,106.050003,118.900002,105.681999,112.963997,112.963997,415885500
2020-01-27,108.398003,130.600006,107.856003,130.113998,130.113998,439615500
2020-02-03,134.738007,193.798004,134.703995,149.613998,149.613998,1066859500
2020-02-10,160.000000,163.998001,147.000000,160.005997,160.005997,451961000
2020-02-17,168.320007,188.955994,166.472000,180.199997,180.199997,368772000
2020-02-24,167.800003,172.699997,122.304001,133.598007,133.598007,475341500
2020-03-02,142.251999,161.395996,136.854004,140.695999,140.695999,422718000
2020-03-09,121.078003,133.600006,100.400002,109.323997,109.323997,437700000
